Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss,,,,,,,
0.1,1,10,Tversky,ADAGRAD,RELU,0.743931303,-0.799925,,,,,,,
0.1,2,10,Tversky,ADAGRAD,RELU,0.742612073,-0.81837577,,,,,,,
0.1,4,10,Tversky,ADAGRAD,RELU,0.629765337,-0.7265075,,,,,,,
0.1,8,10,Tversky,ADAGRAD,RELU,0.449074093,-0.6875336,,,,,,,
0.1,16,10,Tversky,ADAGRAD,RELU,0.466624267,-0.58623916,,,,,,,batch dice for best
0.1,32,10,Tversky,ADAGRAD,RELU,0.365504016,nan,,,,,,,
0.01,1,10,Tversky,ADAGRAD,RELU,0.693739825,-0.76416683,,,,,,,batch_dice: 0.8578600347181299
0.01,2,10,Tversky,ADAGRAD,RELU,0.726465674,-0.7883403,,,,,,,batch_dice: 0.8994955325594901
0.01,4,10,Tversky,ADAGRAD,RELU,0.735811237,-0.78953373,,,,,,,batch_dice: 0.8293470528770391
0.01,8,10,Tversky,ADAGRAD,RELU,0.683186263,-0.74949396,,,,,,,batch_dice: 0.8878134078532404
0.01,16,10,Tversky,ADAGRAD,RELU,0.626689852,-0.6425894,,,,,,,batch_dice: 0.5436857068680491
0.01,32,10,Tversky,ADAGRAD,RELU,0.467226646,nan,,,,,,,batch_dice: 0.7675101502268048
0.001,1,10,Tversky,ADAGRAD,RELU,0.796140358,-0.48489183,<- best,,,,,,batch_dice: 0.4410317705745481
0.001,2,10,Tversky,ADAGRAD,RELU,0.771562412,-0.44461197,,,,,,,batch_dice: 0.9113363028410459
0.001,4,10,Tversky,ADAGRAD,RELU,0.741418011,-0.4143702,,,,,,,batch_dice: 0.7908846425027836
0.001,8,10,Tversky,ADAGRAD,RELU,0.745636327,-0.37717605,,,,,,,batch_dice: 0.8530506302350686
0.001,16,10,Tversky,ADAGRAD,RELU,0.670634993,-0.35094982,,,,,,,batch_dice: 0.8953735355888613
0.001,32,10,Tversky,ADAGRAD,RELU,0.590790026,nan,,,,,,,batch_dice: 0.909101676304222
0.0001,1,10,Tversky,ADAGRAD,RELU,0.634570871,-0.3362806,,,,,,,batch_dice: 0.8704650465363372
0.0001,2,10,Tversky,ADAGRAD,RELU,0.65439609,-0.3328434,,,,,,,batch_dice: 0.9025365039290191
0.0001,4,10,Tversky,ADAGRAD,RELU,0.614257348,-0.3204654,,,,,,,batch_dice: 0.8564154764333756
0.0001,8,10,Tversky,ADAGRAD,RELU,0.512757588,-0.31382042,,,,,,,batch_dice: 0.6124881434990992
0.0001,16,10,Tversky,ADAGRAD,RELU,0.598468272,-0.31774458,,,,,,,batch_dice: 0.8407633228032195
0.0001,32,10,Tversky,ADAGRAD,RELU,0.421555038,nan,,,,,,,batch_dice: 0.8829820860848443
,,,,,,,,,,,,,,batch_dice: 0.7250582368249788
,,,,,,,,,,,,,,batch_dice: 0.9088265853098084
,,,,,,,,,,,,,,val_dice: 0.8093012922284982
