Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss,,,,,
0.1,1,10,Tversky,ADAM,RELU,0.151861317,-0.51859576,,,,,
0.1,2,10,Tversky,ADAM,RELU,0.018342093,-0.41304,,,,,batch dice for best
0.1,4,10,Tversky,ADAM,RELU,0.163810395,-0.71318316,,,,,
0.1,8,10,Tversky,ADAM,RELU,0.019327648,-0.49706513,,,,,batch_dice: 0.7459336393087277
0.1,16,10,Tversky,ADAM,RELU,0,-0.5057069,,,,,batch_dice: 0.9214786760885275
0.1,32,10,Tversky,ADAM,RELU,0,nan,,,,,batch_dice: 0.9284237726098191
0.01,1,10,Tversky,ADAM,RELU,0.745676491,-0.8062887,,,,,batch_dice: 0.8587543718052192
0.01,2,10,Tversky,ADAM,RELU,0.715007934,-0.7685357,,,,,batch_dice: 0.9260903754879659
0.01,4,10,Tversky,ADAM,RELU,0.66983109,-0.7516961,,,,,batch_dice: 0.9244557776141041
0.01,8,10,Tversky,ADAM,RELU,0.715191433,-0.7525947,,,,,batch_dice: 0.7017284557049056
0.01,16,10,Tversky,ADAM,RELU,0.702958753,-0.78686655,,,,,batch_dice: 0.876941329448731
0.01,32,10,Tversky,ADAM,RELU,0.609672714,nan,,,,,batch_dice: 0.8164790787887045
0.001,1,10,Tversky,ADAM,RELU,0.785405996,-0.8269776,,,,,batch_dice: 0.8645257860889956
0.001,2,10,Tversky,ADAM,RELU,0.798500122,-0.8479044,,,,,batch_dice: 0.8925308118078137
0.001,4,10,Tversky,ADAM,RELU,0.794952984,-0.8510044,,,,,batch_dice: 0.8649326207621754
0.001,8,10,Tversky,ADAM,RELU,0.780809937,-0.77759624,,,,,batch_dice: 0.8629693464018632
0.001,16,10,Tversky,ADAM,RELU,0.715700502,-0.525906,,,,,batch_dice: 0.8146493968999996
0.001,32,10,Tversky,ADAM,RELU,0.582507939,nan,,,,,batch_dice: 0.8282446678715308
0.0001,1,10,Tversky,ADAM,RELU,0.830392059,-0.7371735,<- best,,,,batch_dice: 0.863612163913884
0.0001,2,10,Tversky,ADAM,RELU,0.785867825,-0.4838334,,,,,batch_dice: 0.860285894572796
0.0001,4,10,Tversky,ADAM,RELU,0.779700757,-0.39524302,,,,,batch_dice: 0.5017186919961155
0.0001,8,10,Tversky,ADAM,RELU,0.715764975,-0.36082947,,,,,batch_dice: 0.6989017732913082
0.0001,16,10,Tversky,ADAM,RELU,0.708837118,-0.33221927,,,,,batch_dice: 0.8551845484498263
0.0001,32,10,Tversky,ADAM,RELU,0.618944308,nan,,,,,
